Name of TPS,Installed Capacity (MW),CIL,SSCL,Captive,E-Auction,Import,Others,Total,Total Consumption,Closing Stocks,Month,Year,SCCL
MAHADEV PRASAD STPP,540.0,178.648,0,0,0.0,0.0,42.972,221.62,229.455,48.97,9,2025,
MAITHON RB TPP,1050.0,306.224,0,0,0.0,0.0,0.0,306.224,365.02,324.08,9,2025,
MEJIA TPS,2340.0,552.103,0,90.29,0.0,0.0,90.797,733.1899999999999,843.705,386.97,9,2025,
MUZAFFARPUR TPS,390.0,3.997,0,107.321,32.069,0.0,0.0,143.387,120.683,177.26,9,2025,
NABINAGAR STPP,1980.0,525.568,0,160.253,12.14,0.0,0.0,697.9609999999999,773.814,172.48,9,2025,
NABINAGAR TPP,1000.0,224.1028,0,0,0.0,0.0,89.1734,313.2762,322.417,167.44,9,2025,
NORTH KARANPURA TPP,1980.0,374.7,0,297.98,0.0,0.0,0.0,672.6800000000001,699.749,65.75,9,2025,
RAGHUNATHPUR TPP,1200.0,366.78000000000003,0,4.059,0.0,0.0,0.0,370.83900000000006,298.46,281.69,9,2025,
SAGARDIGHI TPS,1600.0,0,0,625.032,132.201,0.0,0.0,757.2330000000001,702.833,121.787,9,2025,
SANTALDIH TPS,500.0,0,0,260.212,0.0,0.0,0.0,260.212,228.865,57.943,9,2025,
SOUTHERN REPL. TPS,135.0,37.61,0,0,4.104,0.0,0.0,41.714,29.698,26.28,9,2025,
TALCHER STPS,3000.0,1162.4,0,71.59,0.0,0.0,0.98,1234.97,1126.462,633.13,9,2025,
TENUGHAT TPS,420.0,78.66,0,0,0.0,0.0,0.0,78.66,153.1,137.26,9,2025,
VEDANTA TPP,600.0,183.2326,0,0,0.0,0.0,0.0,183.2326,166.1657,90.92,9,2025,
BONGAIGAON TPP,750.0,14.84,0,181.56000000000003,0.0,0.0,0.0,196.40000000000003,239.478,197.67,9,2025,
ADANI POWER LIMITED KAWAI TPP,1320.0,223.724,0,0,0.0,40.291,0.0,264.015,289.996,404.81,10,2025,
ANPARA C TPS,1200.0,408.974,0,0,0.0,0.0,0.0,408.974,399.96,97.35,10,2025,
ANPARA TPS,2630.0,1057.407,0,0,0.0,0.0,0.0,1057.407,1162.723,359.51,10,2025,
BARKHERA TPS,90.0,20.104,0,0,0.0,0.0,0.0,20.104,11.517,53.0,10,2025,
CHHABRA-II TPP,1320.0,0,0,398.13374999999996,0.0,0.0,0.0,398.13374999999996,244.5829,597.803,10,2025,
CHHABRA-I PH-1 TPP,500.0,44.0535,0,0,0.0,0.0,0.0,44.0535,174.6568,269.5789,10,2025,
CHHABRA-I PH-2 TPP,500.0,0,0,302.7501,0.0,0.0,0.0,302.7501,165.6987,283.8091,10,2025,
DADRI (NCTPP),1820.0,374.62,0,3.92,0.0,0.0,35.93,414.47,478.986,423.89,10,2025,
GHATAMPUR TPP,660.0,254.28,0,0,0.0,0.0,0.0,254.28,207.021,172.38,10,2025,
GH TPS (LEH.MOH.),920.0,116.614,0,239.698,0.0,0.0,0.0,356.312,278.593,274.17,10,2025,
GOINDWAL SAHIB TPP,540.0,0,0,143.181,0.0,0.0,0.0,143.181,155.42,109.17,10,2025,
HARDUAGANJ TPS,1265.0,290.56399999999996,0,0,0.0,0.0,0.0,290.56399999999996,124.407,413.23,10,2025,
INDIRA GANDHI STPP,1500.0,430.703,0,0,0.0,0.0,0.0,430.703,475.183,429.32,10,2025,
JAWAHARPUR STPP,1320.0,173.8,0,0,0.0,0.0,0.0,173.8,82.29,470.67,10,2025,
KALISINDH TPS,1200.0,0,0,412.2015,0.0,0.0,0.0,412.2015,391.351,370.18,10,2025,
KHAMBARKHERA TPS,90.0,15.795,0,0,0.0,0.0,0.0,15.795,6.101,63.19,10,2025,
KHURJA TPP,1320.0,0,0,335.894,0.0,0.0,0.0,335.894,223.036,316.196,10,2025,
KOTA TPS,1240.0,423.303,0,0,0.0,0.0,20.722,444.025,374.249,495.75,10,2025,
KUNDARKI TPS,90.0,19.711,0,0,0.0,0.0,0.0,19.711,10.186,54.29,10,2025,
